,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income_bracket,income,gender,srace,Y,attr
0,0,38,4,89814,11,9,2,5,0, White, Male,0,0,50, United-States, <=50K.,0,1,4,1,-1
1,1,28,2,336951,7,12,2,11,0, White, Male,0,0,40, United-States, >50K.,1,1,4,-1,-1
2,2,44,4,160323,15,10,2,7,0, Black, Male,7688,0,40, United-States, >50K.,1,1,2,-1,-1
3,3,18,0,103497,15,10,4,0,3, White, Female,0,0,30, United-States, <=50K.,0,0,4,1,1
4,4,34,4,198693,0,6,4,8,1, White, Male,0,0,30, United-States, <=50K.,0,1,4,1,-1
5,5,29,0,227026,11,9,4,0,4, Black, Male,0,0,40, United-States, <=50K.,0,1,2,1,-1
6,6,63,6,104626,14,15,2,10,0, White, Male,3103,0,32, United-States, >50K.,1,1,4,-1,-1
7,7,24,4,369667,15,10,4,8,4, White, Female,0,0,40, United-States, <=50K.,0,0,4,1,1
8,8,55,4,104996,5,4,2,3,0, White, Male,0,0,10, United-States, <=50K.,0,1,4,1,-1
9,9,65,4,184454,11,9,2,7,0, White, Male,6418,0,40, United-States, >50K.,1,1,4,-1,-1
10,10,36,1,212465,9,13,2,1,0, White, Male,0,0,40, United-States, <=50K.,0,1,4,1,-1
11,11,26,4,82091,11,9,4,1,1, White, Female,0,0,39, United-States, <=50K.,0,0,4,1,1
12,12,58,0,299831,11,9,2,0,0, White, Male,0,0,35, United-States, <=50K.,0,1,4,1,-1
13,13,48,4,279724,11,9,2,7,0, White, Male,3103,0,48, United-States, >50K.,1,1,4,-1,-1
14,14,43,4,346189,12,14,2,4,0, White, Male,0,0,50, United-States, >50K.,1,1,4,-1,-1
15,15,20,7,444554,15,10,4,8,3, White, Male,0,0,25, United-States, <=50K.,0,1,4,1,-1
16,16,43,4,128354,11,9,2,1,5, White, Female,0,0,30, United-States, <=50K.,0,0,4,1,1
17,17,37,4,60548,11,9,6,7,4, White, Female,0,0,20, United-States, <=50K.,0,0,4,1,1
18,18,40,4,85019,10,16,2,10,0, Asian-Pac-Islander, Male,0,0,45, ?, >50K.,1,1,1,-1,-1
19,19,34,4,107914,9,13,2,13,0, White, Male,0,0,47, United-States, >50K.,1,1,4,-1,-1
20,20,34,4,238588,15,10,4,8,3, Black, Female,0,0,35, United-States, <=50K.,0,0,2,1,1
21,21,72,0,132015,5,4,0,0,1, White, Female,0,0,6, United-States, <=50K.,0,0,4,1,1
22,22,25,4,220931,9,13,4,10,1, White, Male,0,0,43, Peru, <=50K.,0,1,4,1,-1
23,23,25,4,205947,9,13,2,10,0, White, Male,0,0,40, United-States, <=50K.,0,1,4,1,-1
24,24,45,6,432824,11,9,2,3,0, White, Male,7298,0,90, United-States, >50K.,1,1,4,-1,-1
25,25,22,4,236427,11,9,4,1,3, White, Male,0,0,20, United-States, <=50K.,0,1,4,1,-1
26,26,23,4,134446,11,9,5,7,4, Black, Male,0,0,54, United-States, <=50K.,0,1,2,1,-1
27,27,54,4,99516,11,9,2,3,0, White, Male,0,0,35, United-States, <=50K.,0,1,4,1,-1
28,28,32,6,109282,15,10,4,10,1, White, Male,0,0,60, United-States, <=50K.,0,1,4,1,-1
29,29,46,7,106444,15,10,2,4,0, Black, Male,7688,0,38, United-States, >50K.,1,1,2,-1,-1
30,30,56,6,186651,1,7,6,8,4, White, Female,0,0,50, United-States, <=50K.,0,0,4,1,1
31,31,24,6,188274,9,13,4,12,1, White, Male,0,0,50, United-States, <=50K.,0,1,4,1,-1
32,32,23,2,258120,15,10,2,11,0, White, Male,0,0,40, United-States, <=50K.,0,1,4,1,-1
33,33,26,4,43311,11,9,0,4,4, White, Female,0,0,40, United-States, <=50K.,0,0,4,1,1
34,34,65,0,191846,11,9,2,0,0, White, Male,0,0,40, United-States, <=50K.,0,1,4,1,-1
35,35,36,2,403681,9,13,2,10,0, White, Male,0,0,40, United-States, >50K.,1,1,4,-1,-1
36,36,22,4,248446,4,3,4,9,1, White, Male,0,0,50, Guatemala, <=50K.,0,1,4,1,-1
37,37,17,4,269430,0,6,4,7,1, White, Male,0,0,40, United-States, <=50K.,0,1,4,1,-1
