,Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income_bracket,income,gender,srace,Y,attr
0,0,50,6,83311,9,13,2,4,0, White, Male,0,0,13, United-States, <=50K,1,1,4,1,-1
1,1,38,4,215646,11,9,0,6,1, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
2,2,53,4,234721,1,7,2,6,0, Black, Male,0,0,40, United-States, <=50K,1,1,2,1,-1
3,3,28,4,338409,9,13,2,10,5, Black, Female,0,0,40, Cuba, <=50K,1,0,2,1,1
4,4,37,4,284582,12,14,2,4,5, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
5,5,49,4,160187,6,5,3,8,1, Black, Female,0,0,16, Jamaica, <=50K,1,0,2,1,1
6,6,52,6,209642,11,9,2,4,0, White, Male,0,0,45, United-States, >50K,-1,1,4,-1,-1
7,7,31,4,45781,12,14,4,10,1, White, Female,14084,0,50, United-States, >50K,-1,0,4,-1,1
8,8,42,4,159449,9,13,2,4,0, White, Male,5178,0,40, United-States, >50K,-1,1,4,-1,-1
9,9,37,4,280464,15,10,2,4,0, Black, Male,0,0,80, United-States, >50K,-1,1,2,-1,-1
10,10,30,7,141297,9,13,2,10,0, Asian-Pac-Islander, Male,0,0,40, India, >50K,-1,1,1,-1,-1
11,11,23,4,122272,9,13,4,1,3, White, Female,0,0,30, United-States, <=50K,1,0,4,1,1
12,12,32,4,205019,7,12,4,12,1, Black, Male,0,0,50, United-States, <=50K,1,1,2,1,-1
13,13,40,4,121772,8,11,2,3,0, Asian-Pac-Islander, Male,0,0,40, ?, >50K,-1,1,1,-1,-1
14,14,34,4,245487,5,4,2,14,0, Amer-Indian-Eskimo, Male,0,0,45, Mexico, <=50K,1,1,0,1,-1
15,15,25,6,176756,11,9,4,5,3, White, Male,0,0,35, United-States, <=50K,1,1,4,1,-1
16,16,32,4,186824,11,9,4,7,4, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
17,17,38,4,28887,1,7,2,12,0, White, Male,0,0,50, United-States, <=50K,1,1,4,1,-1
18,18,43,6,292175,12,14,0,4,4, White, Female,0,0,45, United-States, >50K,-1,0,4,-1,1
19,19,40,4,193524,10,16,2,10,0, White, Male,0,0,60, United-States, >50K,-1,1,4,-1,-1
20,20,54,4,302146,11,9,5,8,4, Black, Female,0,0,20, United-States, <=50K,1,0,2,1,1
21,21,35,1,76845,6,5,2,5,0, Black, Male,0,0,40, United-States, <=50K,1,1,2,1,-1
22,22,43,4,117037,1,7,2,14,0, White, Male,0,2042,40, United-States, <=50K,1,1,4,1,-1
23,23,59,4,109015,11,9,0,13,4, White, Female,0,0,40, United-States, <=50K,1,0,4,1,1
24,24,56,2,216851,9,13,2,13,0, White, Male,0,0,40, United-States, >50K,-1,1,4,-1,-1
25,25,19,4,168294,11,9,4,3,3, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
26,26,54,0,180211,15,10,2,0,0, Asian-Pac-Islander, Male,0,0,60, South, >50K,-1,1,1,-1,-1
27,27,39,4,367260,11,9,0,4,1, White, Male,0,0,80, United-States, <=50K,1,1,4,1,-1
28,28,49,4,193366,11,9,2,3,0, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
29,29,23,2,190709,7,12,4,11,1, White, Male,0,0,52, United-States, <=50K,1,1,4,1,-1
30,30,20,4,266015,15,10,4,12,3, Black, Male,0,0,44, United-States, <=50K,1,1,2,1,-1
31,31,45,4,386940,9,13,0,4,3, White, Male,0,1408,40, United-States, <=50K,1,1,4,1,-1
32,32,30,1,59951,15,10,2,1,3, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
33,33,22,7,311512,15,10,2,8,0, Black, Male,0,0,15, United-States, <=50K,1,1,2,1,-1
34,34,48,4,242406,1,7,4,7,4, White, Male,0,0,40, Puerto-Rico, <=50K,1,1,4,1,-1
35,35,21,4,197200,15,10,4,7,3, White, Male,0,0,40, United-States, <=50K,1,1,4,1,-1
