gamma,auditor,estimated_gamma,bias,gamma_deviation
0.0025,dt,0.0013429339816244223,-0.0011570660183755788,0.00407082815920239
0.0025,rf,0.0015970264503987418,-0.0009029735496012597,0.0040653138382553775
0.0025,svm_linear,0.0010838355811519469,-0.0014161644188480543,0.004587734068630652
0.0025,svm_rbf,0.0015378613493670311,-0.0009621386506329705,0.004069500551581148
0.005,dt,0.004151001175711409,-0.0008489988242885918,0.0036207229946287954
0.005,rf,0.004623891705049585,-0.00037610829495041375,0.0037969195951071317
0.005,svm_linear,0.003688409785212645,-0.001311590214787355,0.0046454671924652784
0.005,svm_rbf,0.004492321692700663,-0.0005076783072993399,0.004148487016569198
0.0075000000000000015,dt,0.006484715518019919,-0.0010152844819800808,0.004076276257448749
0.0075000000000000015,rf,0.007447631256225229,-5.236874377477403e-05,0.003884036254980145
0.0075000000000000015,svm_linear,0.006526636826334062,-0.0009733631736659426,0.004773581444367435
0.0075000000000000015,svm_rbf,0.007042425388599949,-0.00045757461140005415,0.0035181497574179395
0.01,dt,0.008649261416588973,-0.001350738583411027,0.0040831864901479924
0.01,rf,0.00978464687756845,-0.00021535312243154775,0.004206606703300529
0.01,svm_linear,0.008844480449422437,-0.0011555195505775643,0.005475755628410558
0.01,svm_rbf,0.009555027047391307,-0.00044497295260869936,0.0042226996337027785
0.0125,dt,0.011666865211555829,-0.0008331347884441688,0.004606239072180901
0.0125,rf,0.012914899142915066,0.0004148991429150667,0.004081717765162676
0.0125,svm_linear,0.012891245557802333,0.00039124555780233825,0.005320019407654817
0.0125,svm_rbf,0.012459152243265863,-4.0847756734138965e-05,0.004482144381400959
0.015000000000000003,dt,0.013509402037460108,-0.0014905979625398965,0.0041856266762059485
0.015000000000000003,rf,0.015078039740342709,7.80397403427098e-05,0.004219681801868997
0.015000000000000003,svm_linear,0.015053727229858049,5.372722985805704e-05,0.005479071653764815
0.015000000000000003,svm_rbf,0.01519602369717839,0.0001960236971783856,0.0044220354161468725
0.0175,dt,0.015588739822228326,-0.0019112601777716636,0.003629205608357026
0.0175,rf,0.017259612095977605,-0.00024038790402239023,0.003629743307012368
0.0175,svm_linear,0.016835713139366947,-0.000664286860633046,0.00466250461026688
0.0175,svm_rbf,0.017177892759824145,-0.00032210724017585373,0.0039147481343038484
0.02,dt,0.019247374737399806,-0.0007526252626001948,0.0033893414548135476
0.02,rf,0.02055323046674006,0.0005532304667400592,0.003965371314899395
0.02,svm_linear,0.020328769749067294,0.00032876974906729124,0.005289110416340958
0.02,svm_rbf,0.020371601733109892,0.00037160173310989185,0.004528621627990717
0.0225,dt,0.02125628781454238,-0.0012437121854576214,0.003730071847426314
0.0225,rf,0.02241300805721562,-8.6991942784376e-05,0.003563283761734792
0.0225,svm_linear,0.02248572720592423,-1.4272794075767814e-05,0.0047159054933635
0.0225,svm_rbf,0.022286881435508023,-0.0002131185644919692,0.003945879038160692
0.025,dt,0.023483316338741504,-0.001516683661258494,0.0037245674345157964
0.025,rf,0.024599051328374796,-0.00040094867162519614,0.004258085917633006
0.025,svm_linear,0.024414214097722094,-0.0005857859022779089,0.0049707965622886666
0.025,svm_rbf,0.024362899722135668,-0.0006371002778643231,0.004496541558150856
