nu,gamma,estimated_gamma,gamma_deviation,bias,auditor
0.1,0.006675,0.008136518968476551,0.0023931847499459005,1.2189541525807566,dt_5
0.2,0.01155,0.012858751454070614,0.0024504802570049383,1.113311814205248,dt_5
0.3,0.016425,0.01718023077363674,0.0025454142824194634,1.0459805646049767,dt_5
0.4,0.0213,0.022017293355370768,0.0023686799864279964,1.0336757443836042,dt_5
0.5,0.026175,0.0269626084211382,0.0024303884383844922,1.0300901020492148,dt_5
0.6,0.03105,0.03172429686674013,0.002154699236709069,1.021716485241228,dt_5
0.7,0.035925,0.03656554557270886,0.0023717208912551863,1.0178300785722716,dt_5
0.8,0.0408,0.04161669329319202,0.002308845186666889,1.0200169924801965,dt_5
0.9,0.045675,0.04613093657190434,0.0024493828179792845,1.00998219095576,dt_5
1.0,0.05055,0.051121018915409856,0.0024219692029008944,1.0112961209774454,dt_5
0.1,0.0032549999999999953,0.0029671977472759637,0.002277082722913031,0.9115814891784848,dt10
0.2,0.008209999999999992,0.007786616430292021,0.0022441778861607316,0.9484307466859963,dt10
0.3,0.013165000000000008,0.012335073367575524,0.002297670825564971,0.9369596177421585,dt10
0.4,0.018120000000000004,0.017243477314953414,0.0022779854488023665,0.9516267833859497,dt10
0.5,0.023075,0.022312204931929713,0.0022190641712986356,0.9669427922829779,dt10
0.6,0.028029999999999996,0.027151134810732915,0.0024444189757534913,0.9686455515780563,dt10
0.7,0.032984999999999993,0.03219108011169977,0.002425132512044544,0.9759308810580499,dt10
0.8,0.037939999999999995,0.03716825273470206,0.002179079774554482,0.9796587436663697,dt10
0.9,0.042895,0.04244981225430187,0.0024057089299728525,0.989621453649653,dt10
1.0,0.04785,0.04815635055725845,0.0021972047384603145,1.0064023104965194,dt10
0.1,0.004225,0.0026806351164195452,0.0022438006439840447,0.6344698500401291,dt_20
0.2,0.00905,0.006536149386477591,0.0021963897550102657,0.7222264515444852,dt_20
0.3,0.013875,0.009906982524524379,0.002420680275281338,0.7140167585242796,dt_20
0.4,0.0187,0.014009300146909997,0.00231807171720107,0.7491604356636361,dt_20
0.5,0.023525,0.018273974541264264,0.002089167120514293,0.776789566047365,dt_20
0.6,0.02835,0.02344021985063202,0.0021110065478223347,0.8268155150134752,dt_20
0.7,0.033175,0.028619797910096646,0.0021626219534662612,0.862691722987088,dt_20
0.8,0.038,0.03411483588643208,0.0019249528451026048,0.8977588391166336,dt_20
0.9,0.042825,0.0404827417647233,0.0021095699735645193,0.9453062875592131,dt_20
1.0,0.04765,0.047385552368198684,0.002225043579663076,0.994450207097559,dt_20
0.1,0.002109999999999991,0.0023996811993987556,0.0021088654590451497,1.1372896679615005,dt_30
0.2,0.007120000000000005,0.005304347785296053,0.0020627210287648095,0.7449926664741643,dt_30
0.3,0.012129999999999995,0.008973458062031902,0.002034084464126018,0.7397739540009816,dt_30
0.4,0.01714000000000001,0.01282286790091879,0.002141291162282159,0.7481253151061134,dt_30
0.5,0.02215,0.01732794515845791,0.001945879177793292,0.7823000071538561,dt_30
0.6,0.027160000000000004,0.022166516861860042,0.00209730656678491,0.8161456871082489,dt_30
0.7,0.032170000000000004,0.027787679010561755,0.0020665703074965245,0.8637761582394079,dt_30
0.8,0.037180000000000005,0.0340045683094424,0.002078360590124916,0.9145930153158256,dt_30
0.9,0.04219,0.04055957251553347,0.002040779865685696,0.9613551200647896,dt_30
1.0,0.0472,0.04785822910156351,0.0022586437407554013,1.0139455318127863,dt_30
0.1,0.004225,0.0027791290945919245,0.0022532810371747544,0.6577820342229408,dt_40
0.2,0.00905,0.005966736501733596,0.002229177846509104,0.6593079007440437,dt_40
0.3,0.013875,0.009380234720156477,0.0021974791499248126,0.6760529528040704,dt_40
0.4,0.0187,0.013129470594854736,0.0021914094086054004,0.7021107269975794,dt_40
0.5,0.023525,0.01774170470059274,0.002181100892323826,0.7541638554980974,dt_40
0.6,0.02835,0.022741553048053663,0.002110621771288295,0.8021711833528629,dt_40
0.7,0.033175,0.028294110833822918,0.0022629353921708793,0.8528744787889349,dt_40
0.8,0.038,0.034243381879229394,0.001974082935458757,0.9011416284007735,dt_40
0.9,0.042825,0.040712891104552985,0.002256624747874569,0.9506804694583301,dt_40
1.0,0.04765,0.04735758321277724,0.00216178983832462,0.9938632363646851,dt_40
