nu,gamma,estimated_gamma,gamma_deviation,bias,size
0.1,0.002709999999999991,0.003682232414505606,0.0033165990425612297,1.3587573485260585,5000
0.2,0.008020000000000005,0.009157088208278286,0.002975116931504967,1.1417815721045237,5000
0.3,0.013329999999999995,0.01480543856110284,0.0030323933589714615,1.110685563473582,5000
0.4,0.01864000000000001,0.0200960584477722,0.003354647701575517,1.0781147235929287,5000
0.5,0.02395,0.025087973207630426,0.00325331491233814,1.0475145389407277,5000
0.6,0.02926,0.03042352484098873,0.0030160616238652264,1.0397650321595602,5000
0.7,0.034570000000000004,0.03568111393179267,0.0031370826312951505,1.0321409873240575,5000
0.8,0.039880000000000006,0.040980073548474036,0.0029981686677107524,1.0275845924893188,5000
0.9,0.04519,0.04615918023538967,0.0029927432135151305,1.021446785470008,5000
1.0,0.0505,0.05155459036889984,0.0030370466549477153,1.020882977601977,5000
0.1,0.0055,0.003168884778168576,0.0021913835994404936,0.5761608687579229,10000
0.2,0.01055,0.008772903766814649,0.002240926511306862,0.8315548594137108,10000
0.3,0.0156,0.013880722848536897,0.001861873354626124,0.8897899261882627,10000
0.4,0.02065,0.019031740815626003,0.002043220053283017,0.921633937802712,10000
0.5,0.0257,0.024032294633991275,0.002054099948202098,0.9351087406222286,10000
0.6,0.03075,0.029117142464827328,0.002200369248291468,0.9468989419456042,10000
0.7,0.0358,0.034153286472552634,0.00218267041187949,0.9540024154344312,10000
0.8,0.04085,0.039373144826265215,0.002102509828207851,0.9638468745719759,10000
0.9,0.0459,0.04420442558378537,0.0020300253863049693,0.9630593809103566,10000
1.0,0.05095,0.04936000705031969,0.0020519087930351717,0.9687930726264904,10000
0.1,0.006082500000000005,0.005059393972489263,0.0016786135682654146,0.8317951454976177,20000
0.2,0.010914999999999998,0.010023674533675095,0.0016031730167724273,0.9183393984127437,20000
0.3,0.0157475,0.01487875977043148,0.001595924140476863,0.944833133540656,20000
0.4,0.020579999999999994,0.019719346977239545,0.0016541849266293205,0.9581801252302988,20000
0.5,0.0254125,0.024621914164320177,0.0015926541693203232,0.9688898834951373,20000
0.6,0.030245000000000005,0.029430524993048674,0.0014982135518704085,0.9730707552669423,20000
0.7,0.0350775,0.03425945819190798,0.0014245654142556567,0.9766790162328554,20000
0.8,0.03991,0.039141064217110666,0.0013877738783131283,0.9807332552520838,20000
0.9,0.0447425,0.04393600179260448,0.00127394430129455,0.9819746726849077,20000
1.0,0.049575,0.04891534585158465,0.001385266056743961,0.9866938144545567,20000
0.1,0.0057666666666666665,0.004990448529412981,0.0013141042757341993,0.8653956987421355,30000
0.2,0.0107,0.009866715348516653,0.0013014111915810292,0.9221229297679115,30000
0.3,0.015633333333333332,0.014694701828451813,0.0012376367470630387,0.9399596052314594,30000
0.4,0.020566666666666667,0.019632403137274518,0.0013614266756255939,0.954573896463915,30000
0.5,0.0255,0.024542432389891383,0.0013178566384853727,0.9624483290153484,30000
0.6,0.030433333333333333,0.02937706237717232,0.0011852754658943827,0.9652923015500214,30000
0.7,0.035366666666666664,0.034298937834134506,0.0012090174540113647,0.9698097408332095,30000
0.8,0.0403,0.03927024540843389,0.0012240748277085683,0.9744477768842157,30000
0.9,0.045233333333333334,0.04422904615514178,0.001219215400618064,0.977797630548455,30000
1.0,0.050166666666666665,0.049151914766934174,0.0012194416730730297,0.9797723873807477,30000
