nu,gamma,estimated_gamma,gamma_deviation,bias,size
0.0,0.0,0.0002615849996352619,0.005430121765037612,0.0002615849996352619,cv
0.18181818181818182,0.0075,0.004512601625210359,0.006468697283701359,-0.0029873983747896408,cv
0.33333333333333337,0.015,0.012943578819299716,0.006229252285148003,-0.002056421180700284,cv
0.4615384615384615,0.0225,0.021673669128631938,0.006973704815748208,-0.0008263308713680612,cv
0.5714285714285715,0.03,0.02926985904092982,0.0057370986999478,-0.0007301409590701781,cv
0.6666666666666666,0.0375,0.03596428001971921,0.0061136068102716585,-0.001535719980280792,cv
0.7499999999999999,0.045,0.04391644040970981,0.005661289464051197,-0.0010835595902901896,cv
0.8235294117647058,0.0525,0.052203823151617985,0.005352813404273038,-0.00029617684838201264,cv
0.888888888888889,0.06,0.05987863115057868,0.004947388678178542,-0.0001213688494213147,cv
0.9473684210526316,0.0675,0.06662259510552464,0.004000274881846589,-0.0008774048944753671,cv
1.0,0.075,0.075313270410566,0.00466915885793922,0.00031327041056600224,cv
0.0,0.0,-6.120577058429819e-05,0.004992599591156172,-6.120577058429819e-05,no_cv
0.18181818181818182,0.0075,0.005093960869150904,0.006738711684330537,-0.002406039130849096,no_cv
0.33333333333333337,0.015,0.012932310540926958,0.0074747078538096885,-0.002067689459073041,no_cv
0.4615384615384615,0.0225,0.021292460843872797,0.0071381247594702905,-0.001207539156127202,no_cv
0.5714285714285715,0.03,0.029372081415551695,0.007464994164171122,-0.0006279185844483039,no_cv
0.6666666666666666,0.0375,0.03819477471226944,0.007428726723289995,0.00069477471226944,no_cv
0.7499999999999999,0.045,0.04566451052486825,0.005998254912946924,0.0006645105248682531,no_cv
0.8235294117647058,0.0525,0.052344984625658474,0.005407762703741951,-0.00015501537434152446,no_cv
0.888888888888889,0.06,0.05929805983864865,0.005212822627980225,-0.0007019401613513471,no_cv
0.9473684210526316,0.0675,0.0668396372451201,0.00533637261636382,-0.0006603627548799063,no_cv
1.0,0.075,0.07565301356790628,0.005428182258069463,0.0006530135679062854,no_cv
