nu,gamma,estimated_gamma,gamma_deviation,bias,balancing
0.1,0.0070992699139152265,0.00863681201317969,0.004873083003855659,1.216577495701458,Uniform
0.2,0.014447941122600212,0.014770846217670008,0.005109685228446093,1.0223495577902577,Uniform
0.3,0.022066864412836843,0.02211836072631275,0.005254110497783106,1.002333648882437,Uniform
0.4,0.029980754426481918,0.02941601663790678,0.005195904118505688,0.9811633229590678,Uniform
0.5,0.03821341241350606,0.036748375021979494,0.005833702461373569,0.9616616967970972,Uniform
0.6,0.04681183014516348,0.04412049345112078,0.005412569870712175,0.942507338728333,Uniform
0.7,0.05581708386331921,0.05224887914408577,0.005489688299618801,0.9360732508353357,Uniform
0.8,0.06528773072747016,0.060246512365116967,0.004763431449479463,0.9227845981751657,Uniform
0.9,0.07530085185018254,0.06898089486482079,0.004923817441122021,0.9160705778211401,Uniform
1.0,0.08594667113868858,0.07856558481975225,0.004796659015825235,0.9141201605466979,Uniform
0.1,0.006911387559808628,0.00501822426958187,0.009225922230609114,0.7260805773306716,IPW
0.2,0.01410514267026406,0.010024063300498513,0.009339803846151415,0.7106672746835005,IPW
0.3,0.02161593860064133,0.01592503510012383,0.009180733001199861,0.7367265143717305,IPW
0.4,0.029476936991257155,0.02088183030797139,0.009188559530518793,0.7084124892001136,IPW
0.5,0.03773776828399959,0.025979685697395383,0.008982205046630488,0.6884266579274771,IPW
0.6,0.04646553816953941,0.03183411737774596,0.009376774550669242,0.6851124216315413,IPW
0.7,0.05572441011202153,0.03741695663151956,0.009555344765200327,0.6714643825982382,IPW
0.8,0.06563160118293197,0.04440279666303572,0.009879695395683459,0.6765459909971391,IPW
0.9,0.07630411950052514,0.050673653803739616,0.009471707820335592,0.6641011538491165,IPW
1.0,0.08793888166449935,0.05673613173928586,0.009057640706641583,0.6451768622182746,IPW
0.1,0.00710553133452353,0.007915100439789807,0.003394958319850877,1.1139350552622063,IPW_Q
0.2,0.014483922223860291,0.013077953441836267,0.003636240171690938,0.9029290022209674,IPW_Q
0.3,0.02216224999780412,0.01873908282494763,0.0033276141087025648,0.8455406299813574,IPW_Q
0.4,0.030177760968229963,0.02468807406478688,0.003458597263819257,0.8180883297066862,IPW_Q
0.5,0.03856274269364401,0.03076073791469164,0.0036942285084730726,0.7976802417573294,IPW_Q
0.6,0.047370523232592186,0.0374152740678992,0.003420855716997832,0.7898429553794012,IPW_Q
0.7,0.05667369160519843,0.04415999719601488,0.003511507153711156,0.779197471441304,IPW_Q
0.8,0.06653897313115191,0.050804920882249895,0.0036547983065981903,0.7635362929648862,IPW_Q
0.9,0.07708440612632231,0.05773962392449254,0.0037290803443469265,0.7490441559590089,IPW_Q
1.0,0.0884621697029378,0.06508509191666999,0.0038605286315577113,0.7357392672509652,IPW_Q
