nu,gamma,estimated_gamma,gamma_deviation,bias,balancing
0.1,0.004960789473684203,0.015103268963807703,0.002094778689573147,3.0445293121038333,Uniform
0.2,0.009934444444444435,0.019778560658468097,0.0021119964273301913,1.9909075710347057,Uniform
0.3,0.014923235294117662,0.02451375798877445,0.0021709487618489357,1.6426570717166882,Uniform
0.4,0.019929999999999996,0.02940903590249434,0.0022438015919748074,1.4756164527091995,Uniform
0.5,0.02495833333333333,0.03429894746251265,0.002297848671249629,1.3742483123544302,Uniform
0.6,0.03001285714285715,0.03920646296206664,0.0022692307405413003,1.3063222463442639,Uniform
0.7,0.03509961538461538,0.04414329574170619,0.002396932463799178,1.2576575343630338,Uniform
0.8,0.04022666666666667,0.04901406652453388,0.0023795788072925156,1.2184471293801924,Uniform
0.9,0.04540499999999999,0.05392932208087485,0.0025152103219606503,1.1877397220763102,Uniform
1.0,0.05065,0.058823631740725704,0.0025600762512704134,1.161374762896855,Uniform
0.1,0.004888684210526299,0.006963535710980318,0.0026799804658244053,1.4244192120216017,IPW
0.2,0.00978555555555554,0.01164024838779682,0.0026944363024114185,1.1895337287404513,IPW
0.3,0.01469205882352942,0.01633946681717077,0.00275821156994298,1.1121291449638777,IPW
0.4,0.019610000000000013,0.020663079931355854,0.0026834938544699097,1.0537011693705172,IPW
0.5,0.024541666666666666,0.025557949714204584,0.0024119915001322234,1.0414105146704755,IPW
0.6,0.02949,0.03046530005858532,0.00242398994643382,1.0330722298604722,IPW
0.7,0.03445884615384614,0.035109892884827465,0.002507845054632062,1.018893457084275,IPW
0.8,0.03945333333333334,0.03976775840201836,0.00245140565950848,1.0079695438159435,IPW
0.9,0.04448045454545454,0.04466693028884399,0.002516025751468649,1.004192307504387,IPW
1.0,0.04955,0.049375385635769965,0.002518534001121169,0.9964759966855695,IPW
0.1,0.0050042105263158,0.0016987133968844844,0.0026018508821446977,0.3394568210013161,IPW_Q
0.2,0.009995555555555546,0.006816048349500678,0.002266475992493794,0.6819079051301263,IPW_Q
0.3,0.01497176470588235,0.012039358416727715,0.0022769293657112773,0.8041375651594028,IPW_Q
0.4,0.019929999999999996,0.017093339369033445,0.0023499383310489753,0.857668809284167,IPW_Q
0.5,0.024866666666666665,0.022093453837887408,0.002281467523576602,0.8884766958935956,IPW_Q
0.6,0.029777142857142867,0.02728605016430662,0.0024367729987326086,0.9163421183561038,IPW_Q
0.7,0.034655384615384616,0.032441824045471954,0.0024530141673380075,0.9361265040200999,IPW_Q
0.8,0.039493333333333346,0.03775455082864743,0.0024201322012115116,0.9559727589968118,IPW_Q
0.9,0.04427999999999999,0.04303811429827437,0.0024023203323928458,0.9719538007740375,IPW_Q
1.0,0.049,0.04813089944508309,0.0023567429564571645,0.9822632539812876,IPW_Q
0.1,0.005128157894736835,0.0035200844546891944,0.002898990148284235,0.6864227909795739,MMD
0.2,0.010263333333333333,0.008416880460988771,0.0030135270490480354,0.8200922826556127,MMD
0.3,0.015406764705882349,0.013618330722677445,0.00305570810336931,0.8839189137144364,MMD
0.4,0.020559999999999995,0.01866046866450948,0.0029919798160768438,0.907610343604547,MMD
0.5,0.025724999999999994,0.023678948785542175,0.002797313949270576,0.9204644814593655,MMD
0.6,0.030904285714285714,0.02872737050216876,0.0028074082686113536,0.9295594393527542,MMD
0.7,0.03610115384615383,0.03396459988555694,0.0027932325350786837,0.940817571380076,MMD
0.8,0.041320000000000016,0.039204813823954666,0.0026393282256187128,0.9488096278788638,MMD
0.9,0.04656681818181818,0.04433656406423391,0.002528352311705729,0.952106366621908,MMD
1.0,0.05185,0.04930443327474246,0.002579731667346286,0.9509051740548208,MMD
