nu,gamma,estimated_gamma,gamma_deviation,bias,balancing,unbalance
0.3,0.01458176470588235,0.028327378812786207,0.00234654166921553,1.9426577910257197,Uniform,-0.3
0.3,0.014595882352941182,0.01908485910332789,0.0023090668586202524,1.3075508997564744,Uniform,-0.2
0.3,0.014603823529411773,0.01385002989351383,0.0025906981495640038,0.9483838164450688,Uniform,-0.1
0.3,0.01461705882352941,0.009879644858902838,0.002186665783558465,0.675898275992387,Uniform,0.0
0.3,0.014603823529411773,0.01344439645088893,0.0024526047378085982,0.9206079780279607,Uniform,0.1
0.3,0.014587941176470597,0.018901818854010828,0.0023711104571297365,1.2957153189305586,Uniform,0.2
0.3,0.014590588235294123,0.02460422807088874,0.002453723966277261,1.6863081648327225,Uniform,0.3
0.3,0.014587941176470597,0.009382231393519177,0.00209393269825603,0.6431497961242199,IPW,-0.3
0.3,0.01496117647058825,0.012267953596822725,0.0021006726247203133,0.819985889541504,IPW,-0.2
0.3,0.015427941176470577,0.01211472219191622,0.002087336196884308,0.7852455524261782,IPW,-0.1
0.3,0.015269117647058824,0.018890161878474677,0.0023292927294565366,1.2371482305078283,IPW,0.0
0.3,0.01542,0.012438230135289023,0.0023271021535193072,0.8066297104597291,IPW,0.1
0.3,0.015295588235294116,0.01902798741368948,0.002424834132356445,1.2440180214699403,IPW,0.2
0.3,0.015412058823529418,0.01146035051052256,0.0023756773154167393,0.743596338538896,IPW,0.3
0.3,0.015287647058823543,0.018428390018273323,0.0025451082622094234,1.2054431886977037,IPW_Q,-0.3
0.3,0.015427941176470577,0.014145936622618602,0.0029094198964220034,0.9169037177943625,IPW_Q,-0.2
0.3,0.01530088235294117,0.01801053029814452,0.0022805480695256572,1.1770909600309747,IPW_Q,-0.1
0.3,0.015417352941176464,0.013313000780930697,0.002018550620339284,0.8635075574727559,IPW_Q,0.0
0.3,0.01527705882352941,0.01823538398776538,0.0032023959720978885,1.1936449416349448,IPW_Q,0.1
0.3,0.015409411764705871,0.014157756840400642,0.002580172667241518,0.9187733481707554,IPW_Q,0.2
0.3,0.0153035294117647,0.01951060829211164,0.0026701090876848047,1.2749090596782673,IPW_Q,0.3
0.3,0.015427941176470577,0.012920478680747588,0.0028178554964855343,0.8374726434952212,MMD,-0.3
0.3,0.014886176470588243,0.016418028019462773,0.0029858463094949318,1.1029042986223578,MMD,-0.2
0.3,0.014887941176470588,0.01524843339141682,0.002930720732215962,1.0242137049490743,MMD,-0.1
0.3,0.01487470588235295,0.014713772460255951,0.0026530661878010104,0.9891807324884369,MMD,0.0
0.3,0.014877352941176486,0.014347184279892185,0.0025769653299879537,0.9643640462533535,MMD,0.1
0.3,0.014885294117647057,0.014276156124906727,0.00267255232070497,0.959077866522088,MMD,0.2
0.3,0.014869411764705888,0.014220708963728613,0.0027773222598292697,0.9563733380148205,MMD,0.3
