nu,gamma,estimated_gamma,gamma_deviation,bias,lw
0.1,0.004862368421052642,0.005625085509888973,0.0032830126124182425,1.1568612295057668,0.0001
0.2,0.009729999999999999,0.010981380450210737,0.003126375174645081,1.1286105293125117,0.0001
0.3,0.014603823529411761,0.014554275487321328,0.003098830026427148,0.9966071870157398,0.0001
0.4,0.019485000000000013,0.019312789329733696,0.0028323486070201192,0.9911618850261064,0.0001
0.5,0.024375,0.024746439865075014,0.003450132967279395,1.01523855856718,0.0001
0.6,0.029275714285714287,0.02897948923264171,0.004768354304497257,0.9898815431049234,0.0001
0.7,0.03418961538461539,0.034095573555552906,0.004978654260610185,0.9972494037150006,0.0001
0.8,0.03912,0.03893273526623109,0.005034897218992169,0.9952130691776863,0.0001
0.9,0.044071363636363645,0.04359545301243411,0.004301759256057773,0.9892013637731677,0.0001
1.0,0.04905,0.048149860003661483,0.004131502382603887,0.9816485219910598,0.0001
0.1,0.004823421052631573,0.005557445740575917,0.0021430772012277512,1.1521792686010426,0.001
0.2,0.00966,0.009176041675864308,0.0029197420487568322,0.9499007946029304,0.001
0.3,0.01451205882352941,0.014477459982620705,0.0020955426749542628,0.9976158557976208,0.001
0.4,0.019382500000000014,0.019220204851317944,0.0021174276373035635,0.9916267174677121,0.001
0.5,0.024274999999999994,0.02463210873544184,0.0021789888723643368,1.0147109674744323,0.001
0.6,0.02919428571428571,0.02951308505763922,0.0024441299087824115,1.0109199227024592,0.001
0.7,0.03414653846153844,0.03387026905113126,0.002404166481081941,0.9919092996580499,0.001
0.8,0.03914,0.03828705176291973,0.0024365031846084635,0.9782077609330538,0.001
0.9,0.0441859090909091,0.04293922523389865,0.002500095489350544,0.9717854881191762,0.001
1.0,0.0493,0.04828277432127152,0.0022136183941423625,0.9793666190927286,0.001
0.1,0.004823421052631573,0.008731777474782137,0.0023925054482469054,1.8102872172061848,0.01
0.2,0.00966,0.013255385868717315,0.001768556557799629,1.3721931541115233,0.01
0.3,0.01451205882352941,0.016374284767718038,0.001523065026017467,1.1283226568217373,0.01
0.4,0.019382500000000014,0.021194738580205104,0.0013696635686268148,1.0934987014164885,0.01
0.5,0.024274999999999994,0.027207316777630712,0.0015271415517070328,1.1207957477911727,0.01
0.6,0.02919428571428571,0.031079741385811915,0.0020215091991885067,1.0645830382691497,0.01
0.7,0.03414653846153844,0.036228896449563744,0.0019195034931092697,1.0609829892529459,0.01
0.8,0.03914,0.040882404208730475,0.0019353824621310314,1.0445172255679733,0.01
0.9,0.0441859090909091,0.04499718433383228,0.0021004117121193855,1.0183604968102848,0.01
1.0,0.0493,0.04965079304871708,0.002148096985199258,1.007115477661604,0.01
0.1,0.004823421052631573,0.014887010228170109,0.0021607313671058296,3.0864007238281674,0.1
0.2,0.00966,0.01989490829150147,0.0021172176820276507,2.0595143158904214,0.1
0.3,0.01451205882352941,0.023820650781648377,0.0019786745187840974,1.6414384114145335,0.1
0.4,0.019382500000000014,0.02903816982284243,0.002031218060151376,1.4981643143476027,0.1
0.5,0.024274999999999994,0.033962056304322384,0.0021090842528891478,1.3990548426085434,0.1
0.6,0.02919428571428571,0.03891983394411731,0.002245748832198499,1.333131912354772,0.1
0.7,0.03414653846153844,0.04373754594872302,0.0022342773992422953,1.2808778845325004,0.1
0.8,0.03914,0.04811935100042689,0.002096707390857591,1.2294162238228639,0.1
0.9,0.0441859090909091,0.05310926741941567,0.002227370403472304,1.201950316562401,0.1
1.0,0.0493,0.0571944691240757,0.002415371210630175,1.1601312195552882,0.1
