nu,alpha,gamma,delta_estimated,delta,step
0,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
1,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
2,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
3,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
4,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
5,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
6,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
7,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
8,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
9,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
10,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
11,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
12,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
13,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
14,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
15,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
16,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
17,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
18,0.37942857142857145,1.1569964938155277,0.24326303326809465,1.1097634287567593,0.01
19,0.23485714285714285,1.3367852596576002,0.24326303326809465,1.1097634287567593,0.01
0,0.356,1.1614418972678313,0.5709789785654503,1.0948056913770103,0.025
1,0.356,1.1614418972678313,0.5709789785654503,1.0948056913770103,0.025
2,0.356,1.1614418972678313,0.5709789785654503,1.0948056913770103,0.025
3,0.356,1.1614418972678313,0.5709789785654503,1.0948056913770103,0.025
4,0.356,1.1614418972678313,0.5709789785654503,1.0948056913770103,0.025
5,0.356,1.1614418972678313,0.5709789785654503,1.0948056913770103,0.025
6,0.356,1.1614418972678313,0.5709789785654503,1.0948056913770103,0.025
7,0.27171428571428574,1.297646103896104,0.5709789785654503,1.0948056913770103,0.025
8,0.10428571428571429,1.591834092233324,0.5709789785654503,1.0948056913770103,0.025
0,0.37885714285714284,1.2014144274837375,0.7680294023439757,1.1008853859287253,0.05
1,0.37885714285714284,1.2014144274837375,0.7680294023439757,1.1008853859287253,0.05
2,0.37885714285714284,1.2014144274837375,0.7680294023439757,1.1008853859287253,0.05
3,0.1417142857142857,2.3787744358678613,0.7680294023439757,1.1008853859287253,0.05
